weight_hbos,weight_ae,threshold_percentile,threshold_value,accuracy,attack_precision,attack_recall,attack_f1,normal_recall,macro_f1,false_positive_rate
0.4,0.6,97.0,0.11481709335978281,0.976128348877464,0.9796927655477263,0.9798643029109214,0.9797785267212326,0.9707476989030387,0.9753243201071484,0.02925230109696129
0.2,0.8,97.0,0.057446895820899846,0.9761154313173328,0.9796713276001663,0.9798643029109214,0.9797678057534277,0.9707161770268566,0.9753108484464738,0.029283822973143362
0.6,0.4,97.0,0.17216469979224877,0.9760508435166766,0.9795851385059735,0.9798424162836507,0.9797137605042017,0.9705900895221283,0.9752437268376359,0.029409910477871642
0.8,0.19999999999999996,97.0,0.22951573619690432,0.9760508435166766,0.9795851385059735,0.9798424162836507,0.9797137605042017,0.9705900895221283,0.9752437268376359,0.029409910477871642
0.2,0.8,95.0,0.05691100399758556,0.9685457410804247,0.9669048595669351,0.9802582622017947,0.9735357728967189,0.9516769638128861,0.9673861904106626,0.04832303618711386
0.8,0.19999999999999996,95.0,0.2276179673765385,0.968351977678456,0.9669344736728435,0.9798861895381922,0.9733672493260284,0.9517400075652502,0.9671884308250869,0.04825999243474972
0.4,0.6,95.0,0.11381244811839379,0.9683390601183248,0.966913590912036,0.9798861895381922,0.9733566684421641,0.9517084856890682,0.967174872774436,0.04829151431093179
0.6,0.4,95.0,0.17071507135044636,0.9683261425581936,0.9668927090532136,0.9798861895381922,0.973346087788334,0.9516769638128861,0.9671613145756452,0.04832303618711386
0.8,0.19999999999999996,90.0,0.2072632034432267,0.9476451287880745,0.9341981771539408,0.9803458087108776,0.9567158281448572,0.900548480645568,0.94524029873684,0.09945151935443197
0.4,0.6,90.0,0.10363997449701809,0.9476192936678121,0.9341592108281715,0.9803458087108776,0.9566953940131783,0.9004854368932039,0.9452126563947145,0.09951456310679611
0.6,0.4,90.0,0.15545166816796843,0.9475676234272871,0.9340812879277626,0.9803458087108776,0.9566545283683777,0.9003593493884756,0.9451573696021836,0.0996406506115244
0.2,0.8,90.0,0.05182823492943892,0.9473996951455809,0.9338281282575157,0.9803458087108776,0.9565217391304348,0.8999495649981087,0.944977668100495,0.10005043500189131
0.4,0.6,80.0,0.09282358279630464,0.9121089208670267,0.8747398041785521,0.9933245786824251,0.9302683091807243,0.7951393266927248,0.9057147253801761,0.20486067330727525
0.2,0.8,80.0,0.046419972348577775,0.9120960033068954,0.8747229449744628,0.9933245786824251,0.9302587753010505,0.7951078048165426,0.9057001874339428,0.20489219518345733
0.6,0.4,80.0,0.13922727647130273,0.9120830857467641,0.874706086420229,0.9933245786824251,0.930249241616791,0.7950762829403606,0.9056856492440833,0.20492371705963938
0.8,0.19999999999999996,80.0,0.18563106269955018,0.9120830857467641,0.874706086420229,0.9933245786824251,0.930249241616791,0.7950762829403606,0.9056856492440833,0.20492371705963938
0.2,0.8,70.0,0.045168611523529585,0.873227064871987,0.8259439619144529,0.9948566425913766,0.9025654263134903,0.698051948051948,0.8605870159809357,0.30194805194805197
0.4,0.6,70.0,0.09033667354332728,0.873227064871987,0.8259439619144529,0.9948566425913766,0.9025654263134903,0.698051948051948,0.8605870159809357,0.30194805194805197
0.6,0.4,70.0,0.13550473605695457,0.8732012297517245,0.8259139472345374,0.9948566425913766,0.9025475051128805,0.6979889042995839,0.860556219008697,0.30201109570041607
0.8,0.19999999999999996,70.0,0.18067279918598889,0.8732012297517245,0.8259139472345374,0.9948566425913766,0.9025475051128805,0.6979889042995839,0.860556219008697,0.30201109570041607
0.8,0.19999999999999996,60.0,0.15807457593730775,0.8347714883612783,0.7813178732064372,0.9999124534909171,0.8772020775131285,0.5969297692598663,0.8123699127326819,0.40307023074013365
0.6,0.4,60.0,0.11855615631401584,0.8346681478802284,0.7812109916041108,0.9999124534909171,0.8771347111960143,0.5966775942504098,0.8122373321066831,0.4033224057495902
0.2,0.8,60.0,0.03952107051419881,0.8345131371586535,0.7810507240182586,0.9999124534909171,0.8770336811188005,0.596299331736225,0.812038412284151,0.40370066826377504
0.4,0.6,60.0,0.07903839653612568,0.8344614669181285,0.7809973161016804,0.9999124534909171,0.8770000095981264,0.5961732442314966,0.8119720926330317,0.40382675576850335
0.2,0.8,50.0,0.039469675974073554,0.7948691451158705,0.742113641532114,0.9999124534909171,0.8519374930071234,0.499558693733451,0.7590778771576729,0.500441306266549
0.4,0.6,50.0,0.0789387555265692,0.7948691451158705,0.742113641532114,0.9999124534909171,0.8519374930071234,0.499558693733451,0.7590778771576729,0.500441306266549
0.6,0.4,50.0,0.11840783507906484,0.7948691451158705,0.742113641532114,0.9999124534909171,0.8519374930071234,0.499558693733451,0.7590778771576729,0.500441306266549
0.8,0.19999999999999996,50.0,0.1578769146315605,0.7948691451158705,0.742113641532114,0.9999124534909171,0.8519374930071234,0.499558693733451,0.7590778771576729,0.500441306266549
0.2,0.8,99.0,0.07274899284209548,0.4441703051127703,0.8994296007205044,0.0655723353031298,0.12223332857346851,0.9894401714790064,0.35777945597348465,0.01055982852099357
0.4,0.6,99.0,0.1454877144353805,0.4260857209290309,0.8268532918610679,0.03490917049682644,0.06699006699006699,0.9894716933551885,0.32628761620730573,0.010528306644811499
0.6,0.4,99.0,0.21822643588690419,0.4060118324850802,0.11345646437994723,0.0009411249726417159,0.0018667650697866244,0.9894086496028244,0.28953478563716534,0.01059135039717564
0.8,0.19999999999999996,99.0,0.29096515758660185,0.4054563773994368,0.0,0.0,0.0,0.9894086496028244,0.28848734398264736,0.01059135039717564
